course,course-name,distance(km),time,starting-point,end-point,explanation,illustration,map,vmap
11course,모슬포-무릉 올레,17.3,06:00,하모체육공원,무릉외갓집,"하모체육공원에서 시작하는 11코스는 삶과 죽음이 공존하는 길, 근대사와 현대사가 녹아 있는 올레. 제주올레는 11코스의 절정인 모슬봉 정상부로 올라가는 ‘잊혀진 옛길’을 산불감시원의 조언을 얻어 복원했다. 모슬봉에서는 흔들리는 억새 사이로 드넓게 펼쳐진 제주 남서부 일대의 오름과 바다를 한눈에 바라볼 수 있다. 신평-무릉간 곶자왈 올레는 제주올레에 의해 처음 공개된 ‘비밀의 숲’으로 또 다른 감동을 안겨준다.",https://www.jejuolle.org/trail/images/mainmap/m_map_c11.png,https://www.jejuolle.org/trail/kor/images/sub_course/sub_map_11.jpg,https://www.jejuolle.org/trail/kor/images/sub_course/sub_vmap_11.jpg
12course,무릉-용수 올레,17.5,06:00,무릉외갓집,용수포구,"해안을 따라 서귀포시 전역을 잇고 제주시로 올라가는 첫 올레. 무릉 2리부터 용수포구 절부암까지 들과 바다, 오름을 따라 이어지는 아름다운 길이다. 드넓은 들에서 보는 지평선은 아스라하고, 깊은 바다는 옥빛으로 가득하다. 신비한 분위기의 도원연못과 녹남봉은 12코스의 볼거리를 더욱 풍성하게 만들어준다. 차귀도를 바라보며 수월봉과 엉알길을 지나 당산봉을 넘고 나면 '생이기정 바당길'로 접어든다.",https://www.jejuolle.org/trail/images/mainmap/m_map_c12.png,https://www.jejuolle.org/trail/kor/images/sub_course/sub_map_12.jpg,https://www.jejuolle.org/trail/kor/images/sub_course/sub_vmap_12.jpg
13course,용수-저지 올레,15.9,05:00,용수포구,저지예술정보화마을,"중산간 숲길 올레의 시작을 알리는 코스다. 해안가를 이어오던 제주올레의 지도가 내륙으로 방향을 틀었다. 바다는 오직 시작점인 용수포구에서만 인사한 후 길은 중산간으로 이어진다. 용수저수지와 숲을 지나 작은 마을 낙천리를 만나고 다시 숲과 오름을 오른다. 50여명의 특전사 대원들의 도움으로 복원된 숲길, 밭길과 저지오름의 울창한 숲이 매력적인 길이다.",https://www.jejuolle.org/trail/images/mainmap/m_map_c13.png,https://www.jejuolle.org/trail/kor/images/sub_course/sub_map_13.jpg,https://www.jejuolle.org/trail/kor/images/sub_course/sub_vmap_13.jpg
14course,저지-한림 올레,19.1,07:00,저지예술정보화마을,한림항,"고요하고 아늑한 초록의 숲길 올레와 시원하게 생동하는 파랑의 바당 올레가 어우러진 길이다. 제주의 농촌 풍경에 마음이 탁 풀어지는 밭길을 지나면 곶자왈처럼 무성한 숲길이 이어지고, 폭신한 숲길을 벗어나 물이 마른 하천을 따라 가노라면 어느새 걸음은 바다에 가 닿는다. 돌담길, 밭길, 숲길, 하천길, 나무 산책로가 깔린 바닷길, 자잘한 돌이 덮인 바닷길, 고운 모래사장 길, 마을길 들이 차례로 나타나 지루할 틈 없는 여정이 이어진다. 바다에서는 아름다운 섬 비양도를 내내 눈에 담고 걷는다.",https://www.jejuolle.org/trail/images/mainmap/m_map_c14.png,https://www.jejuolle.org/trail/kor/images/sub_course/sub_map_14.jpg,https://www.jejuolle.org/trail/kor/images/sub_course/sub_vmap_14.jpg
15course,한림-고내 올레,16.5,06:00,한림항,고내포구,"난대림 숲을 지나 고즈넉한 중산간 풍광의 올레다. 중산간의 끝없이 펼쳐진 밭길과 숲길, 흙길을 걷게 된다. 평범한 마을공원처럼 보이지만 거기에 들어서면 마치 사차원 세계로 빠져들듯 깊고 아름다운 숲길인 금산공원은 이 코스의 숨은 명소다. 곽지팔경 중 하나인 과오름의 세봉우리와 도새기 숲길, 고내봉을 지나면 고내포구에 도착한다.",https://www.jejuolle.org/trail/images/mainmap/m_map_c15.png,https://www.jejuolle.org/trail/kor/images/sub_course/sub_map_15-A.jpg,https://www.jejuolle.org/trail/kor/images/sub_course/sub_vmap_15-A.jpg
16course,고내-광령 올레,15.8,06:00,고내포구,광령1리사무소,"애월 바다의 소박한 아름다움과 중산간 올레로 이어지는 길이다. 고내에서 구엄까지의 쪽빛 바다, 아직도 하얀 소금기가 햇빛에 빛나는 소금빌레, 낚시꾼들이 한가롭게 세월을 낚는 잔잔한 저수지, 키 큰 나무들이 그늘을 드리우는 호젓한 숲, 삼별초가 항전을 벌였던 옛 토성, 평화롭고 소박한 마을, 돌담을 두른 밭, 이 모든 것을 하나로 이어 볼 수 있는 길이다.",https://www.jejuolle.org/trail/images/mainmap/m_map_c16.png,https://www.jejuolle.org/trail/kor/images/sub_course/sub_map_16.jpg,https://www.jejuolle.org/trail/kor/images/sub_course/sub_vmap_16.jpg
17course,광령-제주원도심 올레,18.1,07:00,광령1리사무소,간세라운지X관덕정분식"무수천을 따라 숲길, 무수천과 바다가 만나는 물길을 지나 공항이 있는 제주시 도심으로 들어선다. 제주시내와 인접한 곳이라고는 믿기지 않을 정도로 고즈넉한 외도의 월대와 내도의 알작지 해안을 만난다. 청보리 길과 이호테우해변과 한가로운 마을을 걸으면 어느새 발길은 제주의 머리라는 도두봉에 오른다. 심심한 해안도로를 걷고 난 후 만나는 용두암과 용연다리도 볼거리다. 무근성과 목관아지를 지나 제주 시내를 통과하는 길은 제주 사람들이 과거에 살아온 모습과 지금 살아가는 모습들을 있는 그대로 느낄 수 있다.",https://www.jejuolle.org/trail/images/mainmap/m_map_c17.png,https://www.jejuolle.org/trail/kor/images/sub_course/sub_map_17.jpg,https://www.jejuolle.org/trail/kor/images/sub_course/sub_vmap_17.jpg
18course,제주원도심-조천 올레,19.7,07:00,간세라운지X관덕정분식,조천만세동산,"제주시의 도심 한복판, 간세라운지에서부터 시작된다. 제주항을 지나 언덕을 오르면 제주 시내권에 박힌 보석같은 두 오름, 사라봉과 별도봉이 아름다운 전망을 선사해 준다. 4.3 당시, 마을 전체가 불타 없어져 흔적만 남은 곤을동 마을 터에서 제주의 아픈 상처를 되새기면서 신촌으로 제사 먹으러 가던 옛길을 따라 길을 이어간다. 18코스의 절정, 시비코지에서 닭모루로 이어지는 바당길은 숨이 탁 트이는 풍경을 감상할 수 있다.",https://www.jejuolle.org/trail/images/mainmap/m_map_c18.png,https://www.jejuolle.org/trail/kor/images/sub_course/sub_map_18.jpg,https://www.jejuolle.org/trail/kor/images/sub_course/sub_vmap_18.jpg
19course,조천-김녕 올레,19.4,07:00,조천만세동산,김녕서포구,"바다와 오름, 곶자왈, 마을, 밭 등 제주의 가장 아름다운 모습들을 지루할 틈 없이 펼쳐 보여준다. 밭에서 물빛 고운 바다로, 바다에서 솔향 가득한 숲으로, 숲에서 정겨운 마을로 이어지는 길에는 제주의 진면목이 담겨 있다. 또한 제주 항일운동의 현장인 조천만세동산과 4.3 당시 큰 피해를 입은 북촌리의 너븐숭이4.3기념관에서 제주 근현대사의 아픈 역사를 눈으로 확인할 수 있다.",https://www.jejuolle.org/trail/images/mainmap/m_map_c19.png,https://www.jejuolle.org/trail/kor/images/sub_course/sub_map_19.jpg,https://www.jejuolle.org/trail/kor/images/sub_course/sub_vmap_19.jpg
20course,김녕-하도 올레,17.6,06:00,김녕서포구,제주해녀박물관,"제주 북동부 바다의 아름다움을 오롯이 담은 바당 올레다. 제주 북동쪽 바닷가 김녕서포구에서부터 김녕, 월정, 세화 해수욕장의 잔잔하게 일렁이는 쪽빛 바다 물결을 감상하며 걷게 된다. 물빛이 아름답고 수심이 고른 편이어서 물놀이 하기에도 좋다. 운이 좋으면 해녀들이 물질하는 모습과 함께 숨비소리도 들을 수 있어 길에 제주 해녀 문화가 함께 스며 있다.",https://www.jejuolle.org/trail/images/mainmap/m_map_c20.png,https://www.jejuolle.org/trail/kor/images/sub_course/sub_map_20.jpg,https://www.jejuolle.org/trail/kor/images/sub_course/sub_vmap_20.jpg
21course,하도-종달 올레,11.3,04:00,제주해녀박물관,종달바당,"구좌읍의 바다를 바라보며 시작하여 마을과 밭길로 1/3, 바닷길로 1/3, 그리고 오름으로 1/3 등 제주 동부의 자연을 고르게 체험하는 길이다. 제주의 동쪽 땅끝이라는 뜻을 지닌 지미봉 위에서 360도 어디 한 곳 가릴 데 없이 제주가 펼쳐진다. 시흥초등학교, 말미오름, 당근밭, 감자밭이 한눈에 들어오고 한 켠에 성산일출봉이 떠있는 푸른 제주의 동쪽 바다와 용눈이오름 다랑쉬오름이 있는 제주의 동부 오름 군락이 밀려든다.",https://www.jejuolle.org/trail/images/mainmap/m_map_c21.png,https://www.jejuolle.org/trail/kor/images/sub_course/sub_map_21.jpg,https://www.jejuolle.org/trail/kor/images/sub_course/sub_vmap_21.jpg
