section,category,name,location,contact,expense,start time,end time,time,url
클래스,요가,요가라움,제주시 곤을서길 7 3층,010-9086-4406,100000,17:00,18:30,01:30,https://d2ur7st6jjikze.cloudfront.net/offer_photos/100257/544246_medium_1604283906.jpg
클래스,요리,하례점빵,제주도 서귀포시 남원읍 하례로 272,010-0000-0000,20000,14:00,15:30,01:30,https://d2ur7st6jjikze.cloudfront.net/offer_photos/103063/560231_medium_1616136420.jpg
클래스,공예,제주아는언니집,제주시 한림읍 귀덕11길 31,010-0000-0000,29000,11:00,17:00,01:00,https://d2ur7st6jjikze.cloudfront.net/offer_photos/83741/513542_medium_1590967008.jpg
클래스,공예,담화헌 체험관,제주시 주르레길 55,010-0000-0000,90000,11:40,18:00,02:00,https://d2ur7st6jjikze.cloudfront.net/offer_photos/100180/547088_medium_1612245936.jpg
클래스,요리,왕지케양조장,제주특별자치도 제주시 고산로2길 22-13 1층,010-0000-0000,48000,10:00,16:00,01:00,https://d2ur7st6jjikze.cloudfront.net/offer_photos/102430/553476_medium_1611930969.jpg
클래스,공예,더와이 공방,제주시 구남로6길 25 1층,010-6547-4719,33000,09:00,18:00,02:00,https://d2ur7st6jjikze.cloudfront.net/offer_photos/99706/541747_medium_1602574855.jpg
클래스,공예,낮잠나무,제주시 한림읍 협재10길 9,064-725-3351,25000,09:00,18:00,01:00,https://d2ur7st6jjikze.cloudfront.net/offer_photos/83788/513891_medium_1591239311.jpg
클래스,공예,자매작업실,제주시 연삼로 454 2층,010-0000-0000,35000,10:00,18:00,01:30,https://d2ur7st6jjikze.cloudfront.net/offer_photos/105088/572912_medium_1626792286.jpg
클래스,요리,베지근연구소,제주 제주시 관덕로17길 27,010-0000-0000,55000,11:00,14:00,03:00,https://d2ur7st6jjikze.cloudfront.net/offer_photos/82926/520866_medium_1596001674.jpg
클래스,요리,하효살롱협동조합,제주특별자치도 서귀포시 효돈순환로 217-8,010-0000-0000,15000,10:00,17:00,00:40,https://d2ur7st6jjikze.cloudfront.net/offer_photos/103650/563981_medium_1620227174.jpg
체험,미술관,제주 스누피가든,제주시 구좌읍 금백조로 930,064-903-1111,18000,09:00,18:00,02:00,https://d2ur7st6jjikze.cloudfront.net/offer_photos/99726/571828_medium_1626134475.jpg
체험,미술관,아르떼뮤지엄,제주특별자치도 제주시 애월읍 어림비로 478,010-0000-0000,17000,10:00,20:00,02:00,https://d2ur7st6jjikze.cloudfront.net/offer_photos/100914/591525_medium_1635746967.jpg
체험,박물관,본태박물관,서귀포시 안덕면 산록남로762번길 69,064-792-8108,17000,10:00,18:00,02:00,https://d2ur7st6jjikze.cloudfront.net/offer_photos/103420/563537_medium_1619692074.jpg
체험,테마파크,에코랜드,제주특별자치도 제주시 번영로 1278-169,010-0000-0000,10900,09:00,17:00,03:00,https://d2ur7st6jjikze.cloudfront.net/offer_photos/6650/34572_medium_1633597752.jpg
체험,테마파크,헬로키티아일랜드,제주특별자치도 서귀포시 안덕면 한창로 340,064-792-6114,12500,09:00,18:00,01:00,https://d2ur7st6jjikze.cloudfront.net/offer_photos/100774/567477_medium_1622831684.jpg
체험,테마파크,무민랜드,제주특별자치도 서귀포시 안덕면 병악로 420,064-794-0420,13500,10:00,19:00,01:00,https://d2ur7st6jjikze.cloudfront.net/offer_photos/100772/567496_medium_1622831741.jpg
체험,박물관,테디베어뮤지엄,제주특별자치도 서귀포시 색달동 2889,064-738-7600,10000,09:00,18:00,01:00,https://d2ur7st6jjikze.cloudfront.net/offer_photos/105472/575959_medium_1628482298.jpg
체험,박물관,세계술박물관,제주도 서귀포시 표선면 한마음초등로 431,010-0000-0000,4300,09:00,18:00,01:00,https://d2ur7st6jjikze.cloudfront.net/offer_photos/19411/117645_medium_1525767378.jpg
체험,박물관,초콜릿 박물관,서귀포시 대정읍 일과리 551-18,1522-2089,6500,10:30,17:00,01:00,https://d2ur7st6jjikze.cloudfront.net/offer_photos/100933/548011_medium_1607412436.jpg
체험,미술관,노형수퍼마켙,제주시 노형로 89,064-713-1888,15000,09:30,19:00,01:00,https://d2ur7st6jjikze.cloudfront.net/offer_photos/104549/569289_medium_1624267823.jpg
체험,피크닉,오르머,제주시 구좌읍 종달리,010-0000-0000,30000,16:00,18:00,02:00,https://d2ur7st6jjikze.cloudfront.net/offer_photos/105608/576613_medium_1629115171.jpg
