id,reg_date,user,day,people,plane,acc,activity
163,2021-01-13,13,3,6,"9,210",18,"21,23,24"
164,2021-01-13,53,2,4,"9,182",17,"11,12"
165,2021-01-13,110,5,6,"1,90",6,"9,8,12,14,21"
166,2021-01-13,128,3,4,"4,156",7,"25,24,13"
167,2021-01-13,99,4,6,"180,192",19,"6,5,11,13"
168,2021-01-13,63,4,7,"142,162",11,"28,29,6"
169,2021-01-13,94,2,5,"9,182",7,"22,24"
170,2021-01-13,95,5,1,"4,62",1,"3,4,19,24"
171,2021-01-13,56,3,4,"180,192",1,"1,5,17"
172,2021-01-13,98,4,5,"9,126",5,"26,27,28,5"
173,2021-01-14,14,2,5,"8,79",17,"7,6"
174,2021-01-14,54,3,2,"9,210",1,"5,7,8"
175,2021-01-14,111,3,5,"3,36",7,"21,23,24"
176,2021-01-14,129,2,2,"4,62",8,"11,12"
177,2021-01-14,100,5,2,"172,220",2,"27,23,25,1"
178,2021-01-14,64,4,4,"180,192",12,"16,14,13,6"
179,2021-01-14,95,3,3,"9,210",5,"25,29"
180,2021-01-14,96,5,2,"3,78",7,"25,26,19,11,9"
181,2021-01-14,57,5,6,"172,220",3,"3,4,19,24"
182,2021-01-14,99,4,6,"8,52",2,"6,10,12,18"
183,2021-01-15,15,3,3,"9,126",1,"15,19,24"
184,2021-01-15,55,4,6,"8,79",2,"4,6,13,19"
185,2021-01-15,112,2,3,"38,91",8,"7,6"
186,2021-01-15,130,3,6,"3,78",9,"5,7,8"
187,2021-01-15,101,5,5,"277,256",4,"9,8,12,14,21"
188,2021-01-15,65,4,6,"172,220",13,"6,5,11,13"
189,2021-01-15,96,4,4,"8,79",2,"11,10,2,9"
190,2021-01-15,97,4,3,"28,150",5,"7,8,14,16"
191,2021-01-15,58,5,1,"277,256",5,"25,26,19,11,9"
192,2021-01-15,100,3,7,"9,162",12,"24,23,30"
193,2021-01-16,16,4,4,"8,52",2,"26,27,28,5"
194,2021-01-16,56,4,1,"9,126",3,"18,17,2"
195,2021-01-16,113,3,4,"126,189",9,"15,19,24"
196,2021-01-16,131,4,1,"32,142",10,"4,6,13,19"
197,2021-01-16,102,3,7,"42,190",5,"21,23,24"
198,2021-01-16,66,5,1,"277,256",14,"27,23,25,1"
199,2021-01-16,97,4,7,"9,126",12,"9,4,3,15"
200,2021-01-16,98,2,5,"153,167",2,"20,26"
201,2021-01-16,59,4,5,"42,190",6,"7,8,14,16"
202,2021-01-16,101,5,5,"4,156",19,"30,31,4,7"
203,2021-01-17,17,4,7,"9,162",3,"6,10,12,18"
204,2021-01-17,57,3,5,"8,52",4,"1,5,17"
205,2021-01-17,114,4,7,"123,178",10,"26,27,28,5"
206,2021-01-17,132,4,5,"145,151",11,"18,17,2"
207,2021-01-17,103,2,4,"160,187",8,"7,6"
208,2021-01-17,67,5,5,"42,190",15,"9,8,12,14,21"
209,2021-01-17,98,4,1,"8,52",19,"18,19,21,25"
210,2021-01-17,99,3,6,"142,162",12,"23,28,19"
211,2021-01-17,60,2,7,"160,187",8,"20,26"
212,2021-01-17,102,5,2,"4,62",18,"31,19,18,10,9"
213,2021-01-18,18,3,1,"4,156",4,"24,23,30"
214,2021-01-18,58,5,7,"9,162",5,"3,4,19,24"
215,2021-01-18,115,4,1,"189,230",11,"6,10,12,18"
216,2021-01-18,133,3,7,"28,150",12,"1,5,17"
217,2021-01-18,104,3,5,"3,135",9,"15,19,24"
218,2021-01-18,68,3,7,"160,187",16,"21,23,24"
219,2021-01-18,99,5,2,"9,162",18,"25,29,31,12"
220,2021-01-18,100,4,7,"180,192",19,"14,15,19,20"
221,2021-01-18,61,3,8,"3,135",9,"23,28,19"
222,2021-01-18,103,4,5,"3,78",17,"18,19,21,23"
223,2021-01-19,19,5,2,"4,62",5,"30,31,4,7"
224,2021-01-19,59,5,8,"4,156",6,"25,26,19,11,9"
225,2021-01-19,116,3,2,"230,277",12,"24,23,30"
226,2021-01-19,134,5,8,"153,167",13,"3,4,19,24"
227,2021-01-19,105,4,2,"9,182",11,"26,27,28,5"
228,2021-01-19,69,2,8,"3,135",17,"7,6"
229,2021-01-19,100,5,3,"4,156",17,"7,6,15,18,29"
230,2021-01-19,101,4,5,"172,220",18,"21,22,24"
231,2021-01-19,62,4,3,"9,182",1,"14,15,19,20"
232,2021-01-19,104,2,7,"32,142",1,"22,24"
233,2021-01-20,20,5,3,"3,78",6,"31,19,18,10,9"
234,2021-01-20,60,4,3,"4,62",7,"7,8,14,16"
235,2021-01-20,117,5,3,"156,48",13,"30,31,4,7"
236,2021-01-20,135,5,3,"142,162",14,"25,26,19,11,9"
237,2021-01-20,106,4,3,"9,210",15,"6,10,12,18"
238,2021-01-20,70,3,3,"9,182",18,"15,19,24"
239,2021-01-20,101,3,5,"4,62",1,"25,24,13"
240,2021-01-20,102,4,2,"277,256",17,"19,18,5,31"
241,2021-01-20,63,4,4,"9,210",7,"21,22,24"
242,2021-01-20,105,3,4,"145,151",2,"25,29"
243,2021-01-21,21,4,5,"32,142",7,"18,19,21,23"
244,2021-01-21,61,2,4,"3,78",8,"20,26"
245,2021-01-21,118,5,5,"48,79",14,"31,19,18,10,9"
246,2021-01-21,136,4,4,"180,192",15,"7,8,14,16"
247,2021-01-21,107,3,4,"8,79",16,"24,23,30"
248,2021-01-21,71,4,4,"9,210",19,"26,27,28,5"
249,2021-01-21,102,2,6,"3,78",2,"11,12"
250,2021-01-21,103,5,5,"42,190",1,"31,14,15,16"
251,2021-01-21,64,4,6,"8,79",5,"19,18,5,31"
252,2021-01-21,106,4,6,"28,150",3,"11,10,2,9"
253,2021-01-22,22,2,6,"145,151",8,"22,24"
254,2021-01-22,62,3,6,"32,142",9,"23,28,19"
255,2021-01-22,119,4,6,"65,45",15,"18,19,21,23"
256,2021-01-22,137,2,6,"172,220",16,"20,26"
257,2021-01-22,108,5,2,"9,126",13,"30,31,4,7"
258,2021-01-22,72,4,6,"8,79",2,"6,10,12,18"
259,2021-01-22,103,3,7,"32,142",3,"5,7,8"
260,2021-01-22,104,3,7,"160,187",2,"24,23,30"
261,2021-01-22,65,5,5,"9,126",2,"31,14,15,16"
262,2021-01-22,107,4,1,"153,167",4,"9,4,3,15"
263,2021-01-23,23,3,7,"28,150",9,"25,29"
264,2021-01-23,63,4,5,"145,151",10,"14,15,19,20"
265,2021-01-23,120,2,7,"43,82",16,"22,24"
266,2021-01-23,138,3,5,"277,256",17,"23,28,19"
267,2021-01-23,109,5,6,"8,52",8,"31,19,18,10,9"
268,2021-01-23,73,3,5,"9,126",4,"24,23,30"
269,2021-01-23,104,4,5,"145,151",4,"4,6,13,19"
270,2021-01-23,105,5,4,"3,135",3,"30,31,4,7"
271,2021-01-23,66,5,3,"8,52",12,"20,21,26,4"
272,2021-01-23,108,4,5,"142,162",5,"18,19,21,25"
273,2021-01-24,24,4,5,"153,167",10,"11,10,2,9"
274,2021-01-24,64,4,3,"28,150",11,"21,22,24"
275,2021-01-24,121,3,5,"81,46",17,"25,29"
276,2021-01-24,139,4,3,"42,190",18,"14,15,19,20"
277,2021-01-24,110,4,1,"9,162",9,"18,19,21,23"
278,2021-01-24,74,5,3,"8,52",5,"30,31,4,7"
279,2021-01-24,105,4,2,"28,150",5,"18,17,2"
280,2021-01-24,106,5,6,"9,182",4,"31,19,18,10,9"
281,2021-01-24,67,3,4,"9,162",19,"12,16,8"
282,2021-01-24,109,5,7,"180,192",6,"25,29,31,12"
283,2021-01-25,25,4,2,"142,162",11,"9,4,3,15"
284,2021-01-25,65,4,4,"153,167",12,"19,18,5,31"
285,2021-01-25,122,4,2,"32,142",18,"11,10,2,9"
286,2021-01-25,85,4,4,"160,187",19,"21,22,24"
287,2021-01-25,111,2,5,"4,156",7,"22,24"
288,2021-01-25,75,5,4,"9,162",8,"31,19,18,10,9"
289,2021-01-25,106,3,5,"153,167",6,"1,5,17"
290,2021-01-25,107,4,1,"9,210",5,"18,19,21,23"
291,2021-01-25,68,2,7,"4,156",18,"1,9"
292,2021-01-25,110,5,8,"172,220",7,"7,6,15,18,29"
293,2021-01-26,26,4,5,"180,192",12,"18,19,21,25"
294,2021-01-26,66,5,7,"142,162",13,"31,14,15,16"
295,2021-01-26,123,4,5,"145,151",19,"9,4,3,15"
296,2021-01-26,86,4,7,"3,135",2,"19,18,5,31"
297,2021-01-26,112,3,7,"4,62",5,"25,29"
298,2021-01-26,76,4,7,"4,156",9,"18,19,21,23"
299,2021-01-26,107,5,7,"142,162",7,"3,4,19,24"
300,2021-01-26,108,2,5,"8,79",6,"22,24"
301,2021-01-26,69,3,1,"4,62",17,"15,16,25"
302,2021-01-26,111,3,3,"277,256",8,"25,24,13"
303,2021-01-27,27,5,7,"172,220",13,"25,29,31,12"
304,2021-01-27,67,5,1,"180,192",14,"20,21,26,4"
305,2021-01-27,124,4,7,"28,150",2,"18,19,21,25"
306,2021-01-27,87,5,1,"9,182",4,"31,14,15,16"
307,2021-01-27,113,4,8,"3,78",4,"11,10,2,9"
308,2021-01-27,77,2,1,"4,62",11,"22,24"
309,2021-01-27,8,5,6,"180,192",8,"25,26,19,11,9"
310,2021-01-27,109,3,7,"9,126",7,"25,29"
311,2021-01-27,70,4,2,"3,78",1,"17,19,31"
312,2021-01-27,112,2,4,"42,190",9,"11,12"
313,2021-01-28,28,5,4,"277,256",14,"7,6,15,18,29"
314,2021-01-28,68,3,2,"172,220",15,"12,16,8"
315,2021-01-28,125,5,4,"153,167",4,"25,29,31,12"
316,2021-01-28,88,3,2,"9,210",5,"24,23,30"
317,2021-01-28,114,4,3,"28,150",3,"9,4,3,15"
318,2021-01-28,78,3,2,"3,78",15,"25,29"
319,2021-01-28,9,4,5,"172,220",9,"7,8,14,16"
320,2021-01-28,110,4,8,"8,52",8,"11,10,2,9"
321,2021-01-28,71,4,3,"32,142",2,"30,16,28"
322,2021-01-28,113,3,6,"160,187",10,"5,7,8"
323,2021-01-29,29,3,5,"42,190",15,"25,24,13"
324,2021-01-29,69,2,3,"277,256",16,"1,9"
325,2021-01-29,126,5,5,"142,162",5,"7,6,15,18,29"
326,2021-01-29,89,5,3,"8,79",8,"30,31,4,7"
327,2021-01-29,115,4,4,"153,167",5,"18,19,21,25"
328,2021-01-29,79,4,3,"32,142",16,"11,10,2,9"
329,2021-01-29,10,2,3,"277,256",10,"20,26"
330,2021-01-29,111,4,3,"9,162",9,"9,4,3,15"
331,2021-01-29,72,3,5,"145,151",3,"28,20,19"
332,2021-01-29,114,4,5,"3,135",11,"4,6,13,19"
333,2021-01-30,30,2,2,"160,187",16,"11,12"
334,2021-01-30,70,3,5,"42,190",17,"15,16,25"
335,2021-01-30,127,3,2,"180,192",8,"25,24,13"
336,2021-01-30,172,5,5,"9,126",9,"31,19,18,10,9"
337,2021-01-30,116,5,6,"142,162",5,"25,29,31,12"
338,2021-01-30,80,4,5,"145,151",13,"9,4,3,15"
339,2021-01-30,11,3,4,"42,190",11,"23,28,19"
340,2021-01-30,112,4,4,"4,156",10,"18,19,21,25"
341,2021-01-30,73,5,6,"28,150",4,"15,17,28,30,16"
342,2021-01-30,115,4,3,"9,182",12,"18,17,2"
343,2021-01-31,31,3,3,"3,135",17,"5,7,8"
344,2021-01-31,71,4,6,"160,187",18,"17,19,31"
345,2021-01-31,128,2,3,"172,220",9,"11,12"
346,2021-01-31,2,4,6,"8,52",11,"18,19,21,23"
347,2021-01-31,117,5,5,"180,192",1,"7,6,15,18,29"
348,2021-01-31,81,4,6,"28,150",8,"18,19,21,25"
349,2021-01-31,12,4,7,"160,187",12,"14,15,19,20"
350,2021-01-31,113,5,6,"4,62",11,"25,29,31,12"
351,2021-01-31,74,5,7,"153,167",5,"18,19,20,21,4"
352,2021-01-31,116,3,4,"9,210",13,"1,5,17"
353,2021-02-01,32,4,4,"9,182",18,"4,6,13,19"
354,2021-02-01,72,4,7,"3,135",19,"30,16,28"
355,2021-02-01,129,3,4,"277,256",11,"5,7,8"
356,2021-02-01,3,2,7,"9,162",15,"22,24"
357,2021-02-01,118,3,3,"172,220",3,"25,24,13"
358,2021-02-01,82,5,7,"153,167",9,"25,29,31,12"
359,2021-02-01,13,4,1,"3,135",13,"21,22,24"
360,2021-02-01,114,5,5,"3,78",12,"7,6,15,18,29"
361,2021-02-01,75,4,5,"142,162",6,"1,6,29"
362,2021-02-01,117,5,7,"8,79",14,"3,4,19,24"
363,2021-02-02,33,4,2,"9,210",19,"18,17,2"
364,2021-02-02,73,3,5,"9,182",2,"28,20,19"
365,2021-02-02,130,4,2,"42,190",15,"4,6,13,19"
366,2021-02-02,4,3,5,"4,156",16,"25,29"
367,2021-02-02,119,2,4,"277,256",5,"11,12"
368,2021-02-02,83,5,5,"142,162",7,"7,6,15,18,29"
369,2021-02-02,14,4,2,"9,182",14,"19,18,5,31"
370,2021-02-02,115,3,3,"32,142",13,"25,24,13"
371,2021-02-02,76,3,2,"180,192",7,"3,5,28"
372,2021-02-02,118,5,1,"9,126",15,"25,26,19,11,9"
373,2021-02-03,34,3,6,"8,79",2,"1,5,17"
374,2021-02-03,74,5,2,"9,210",4,"15,17,28,30,16"
375,2021-02-03,131,4,6,"160,187",16,"18,17,2"
376,2021-02-03,5,4,2,"4,62",13,"11,10,2,9"
377,2021-02-03,120,3,7,"42,190",6,"5,7,8"
378,2021-02-03,84,3,2,"180,192",5,"25,24,13"
379,2021-02-03,15,5,3,"9,210",15,"31,14,15,16"
380,2021-02-03,116,2,4,"145,151",14,"11,12"
381,2021-02-03,77,5,5,"172,220",8,"13,18,26,24"
382,2021-02-03,119,4,2,"8,52",16,"7,8,14,16"
383,2021-02-04,35,5,1,"9,126",4,"3,4,19,24"
384,2021-02-04,75,5,5,"8,79",5,"18,19,20,21,4"
385,2021-02-04,132,3,1,"3,135",13,"1,5,17"
386,2021-02-04,6,4,5,"3,78",8,"9,4,3,15"
387,2021-02-04,121,4,1,"160,187",8,"4,6,13,19"
388,2021-02-04,85,2,5,"172,220",4,"11,12"
389,2021-02-04,16,5,5,"8,79",16,"20,21,26,4"
390,2021-02-04,117,3,7,"28,150",15,"5,7,8"
391,2021-02-04,78,5,7,"277,256",9,"14,18,28,31"
392,2021-02-04,120,2,3,"9,162",17,"20,26"
393,2021-02-05,36,5,5,"8,52",5,"25,26,19,11,9"
394,2021-02-05,76,4,7,"9,126",8,"1,6,29"
395,2021-02-05,133,5,5,"9,182",8,"3,4,19,24"
396,2021-02-05,7,4,7,"28,150",9,"18,19,21,25"
397,2021-02-05,122,4,2,"3,135",9,"18,17,2"
398,2021-02-05,86,3,7,"277,256",3,"5,7,8"
399,2021-02-05,17,3,6,"9,126",17,"12,16,8"
400,2021-02-05,118,4,1,"153,167",16,"4,6,13,19"
401,2021-02-05,79,4,4,"42,190",10,"2,9,19,20"
402,2021-02-05,121,3,5,"4,156",18,"23,28,19"
403,2021-02-06,37,4,7,"9,162",8,"7,8,14,16"
404,2021-02-06,77,3,4,"8,52",9,"3,5,28"
405,2021-02-06,134,5,7,"9,210",9,"25,26,19,11,9"
406,2021-02-06,8,5,4,"153,167",7,"25,29,31,12"
407,2021-02-06,123,3,3,"9,182",1,"1,5,17"
408,2021-02-06,87,4,4,"42,190",5,"4,6,13,19"
409,2021-02-06,18,2,7,"8,52",18,"1,9"
410,2021-02-06,119,4,2,"142,162",17,"18,17,2"
411,2021-02-06,80,2,5,"160,187",11,"12,11"
412,2021-02-06,122,4,6,"4,62",19,"14,15,19,20"
413,2021-02-07,38,2,8,"4,156",9,"20,26"
414,2021-02-07,78,5,5,"9,162",11,"13,18,26,24"
415,2021-02-07,135,4,8,"8,79",7,"7,8,14,16"
416,2021-02-07,9,5,5,"142,162",5,"7,6,15,18,29"
417,2021-02-07,124,5,5,"9,210",7,"3,4,19,24"
418,2021-02-07,88,4,5,"160,187",5,"18,17,2"
419,2021-02-07,19,3,5,"9,162",19,"15,16,25"
420,2021-02-07,120,3,3,"180,192",18,"1,5,17"
421,2021-02-07,81,3,2,"3,135",12,"23,26,27"
422,2021-02-07,123,4,7,"3,78",1,"21,22,24"
423,2021-02-08,39,3,3,"4,62",11,"23,28,19"
424,2021-02-08,79,5,2,"4,156",15,"14,18,28,31"
425,2021-02-08,136,2,3,"9,126",5,"20,26"
426,2021-02-08,10,3,2,"180,192",4,"25,24,13"
427,2021-02-08,125,5,6,"8,79",5,"25,26,19,11,9"
428,2021-02-08,89,3,2,"3,135",1,"1,5,17"
429,2021-02-08,20,4,2,"4,156",1,"17,19,31"
430,2021-02-08,121,5,5,"172,220",19,"3,4,19,24"
431,2021-02-08,82,4,3,"9,182",13,"28,29,6"
432,2021-02-08,124,4,5,"28,150",3,"19,18,5,31"
433,2021-02-09,40,4,4,"3,78",15,"14,15,19,20"
434,2021-02-09,80,4,3,"4,62",16,"2,9,19,20"
435,2021-02-09,137,3,4,"8,52",4,"23,28,19"
436,2021-02-09,11,2,3,"172,220",3,"11,12"
437,2021-02-09,126,4,7,"9,126",2,"7,8,14,16"
438,2021-02-09,90,5,3,"9,182",3,"3,4,19,24"
439,2021-02-09,21,4,5,"4,62",3,"30,16,28"
440,2021-02-09,122,5,6,"277,256",1,"25,26,19,11,9"
441,2021-02-09,83,4,4,"9,210",14,"16,14,13,6"
442,2021-02-09,125,5,2,"153,167",5,"31,14,15,16"
443,2021-02-10,41,4,6,"32,142",16,"21,22,24"
444,2021-02-10,81,2,4,"3,78",13,"12,11"
445,2021-02-10,138,4,6,"9,162",3,"14,15,19,20"
446,2021-02-10,12,3,4,"277,256",5,"5,7,8"
447,2021-02-10,127,2,5,"8,52",12,"20,26"
448,2021-02-10,91,5,4,"9,210",5,"25,26,19,11,9"
449,2021-02-10,22,3,7,"3,78",5,"28,20,19"
450,2021-02-10,123,4,7,"42,190",3,"7,8,14,16"
451,2021-02-10,84,4,2,"8,79",15,"6,5,11,13"
452,2021-02-10,126,5,5,"142,162",6,"20,21,26,4"
453,2021-02-11,42,4,5,"145,151",13,"19,18,5,31"
454,2021-02-11,82,3,2,"1,90",8,"23,26,27"
455,2021-02-11,139,4,5,"4,156",5,"21,22,24"
456,2021-02-11,13,4,2,"42,190",5,"4,6,13,19"
457,2021-02-11,128,3,2,"9,162",19,"23,28,19"
458,2021-02-11,92,4,2,"8,79",6,"7,8,14,16"
459,2021-02-11,23,5,4,"28,150",6,"15,17,28,30,16"
460,2021-02-11,124,2,5,"160,187",5,"20,26"
461,2021-02-11,85,5,6,"9,126",16,"27,23,25,1"
462,2021-02-11,127,3,7,"180,192",8,"12,16,8"
463,2021-02-12,43,5,3,"28,150",8,"31,14,15,16"
464,2021-02-12,83,4,6,"3,36",9,"28,29,6"
465,2021-02-12,171,4,3,"4,62",5,"19,18,5,31"
466,2021-02-12,14,4,6,"160,187",1,"18,17,2"
467,2021-02-12,129,4,5,"4,156",18,"14,15,19,20"
468,2021-02-12,93,2,6,"9,126",8,"20,26"
469,2021-02-12,24,5,5,"153,167",8,"18,19,20,21,4"
470,2021-02-12,125,3,2,"3,135",6,"23,28,19"
471,2021-02-12,86,5,1,"8,52",17,"9,8,12,14,21"
472,2021-02-12,128,2,4,"172,220",9,"1,9"
473,2021-02-13,44,5,4,"153,167",9,"20,21,26,4"
474,2021-02-13,84,4,1,"38,91",7,"16,14,13,6"
475,2021-02-13,2,5,4,"3,78",1,"31,14,15,16"
476,2021-02-13,15,3,1,"3,135",3,"1,5,17"
477,2021-02-13,130,4,7,"4,62",17,"21,22,24"
478,2021-02-13,94,3,1,"8,52",9,"23,28,19"
479,2021-02-13,25,4,2,"142,162",9,"1,6,29"
480,2021-02-13,126,4,5,"9,182",8,"14,15,19,20"
481,2021-02-13,87,3,5,"9,162",18,"21,23,24"
482,2021-02-13,129,3,5,"277,256",1,"15,16,25"
483,2021-02-14,45,3,7,"142,162",7,"12,16,8"
484,2021-02-14,85,4,5,"126,189",5,"6,5,11,13"
485,2021-02-14,3,5,7,"32,142",3,"20,21,26,4"
486,2021-02-14,16,5,5,"9,182",5,"3,4,19,24"
487,2021-02-14,131,4,4,"3,78",1,"19,18,5,31"
488,2021-02-14,95,4,5,"9,162",1,"14,15,19,20"
489,2021-02-14,26,3,3,"180,192",1,"3,5,28"
490,2021-02-14,127,4,7,"9,210",9,"21,22,24"
491,2021-02-14,88,2,7,"4,156",19,"7,6"
